"","Negative","No Change","Positive","Node","Region","Model","Scenario"
"130",29.28,0,70.72,"Light","Low-lat shelf","+ Hypothesised","Historical"
"131",81.66,0,18.34,"Marine snow","Low-lat shelf","+ Hypothesised","Historical"
"132",0,100,0,"MLD","Low-lat shelf","+ Hypothesised","Historical"
"133",0,0,100,"Nutrients","Low-lat shelf","+ Hypothesised","Historical"
"134",23.28,0,76.72,"Other grazers (competition)","Low-lat shelf","+ Hypothesised","Historical"
"135",26.04,0,73.96,"POM","Low-lat shelf","+ Hypothesised","Historical"
"136",14.8,0.02,85.18,"Predation risk","Low-lat shelf","+ Hypothesised","Historical"
"137",12.54,0,87.46,"Sea-ice algae","Low-lat shelf","+ Hypothesised","Historical"
"138",0,100,0,"Sea-ice concentration","Low-lat shelf","+ Hypothesised","Historical"
"139",0,100,0,"Sea-ice convergence","Low-lat shelf","+ Hypothesised","Historical"
"140",0,100,0,"Sea-ice thickness","Low-lat shelf","+ Hypothesised","Historical"
"141",52.26,0.02,47.72,"Small copepods","Low-lat shelf","+ Hypothesised","Historical"
"142",23.82,0,76.18,"Small pelagic algae","Low-lat shelf","+ Hypothesised","Historical"
"143",0,100,0,"Snow","Low-lat shelf","+ Hypothesised","Historical"
"144",100,0,0,"Depth","Low-lat shelf","+ Hypothesised","Historical"
"145",100,0,0,"Latitude","Low-lat shelf","+ Hypothesised","Historical"
"146",0,100,0,"Autumn primary production","Low-lat shelf","+ Hypothesised","Historical"
"147",0,100,0,"Temperature","Low-lat shelf","+ Hypothesised","Historical"
"148",0,100,0,"Wind stress","Low-lat shelf","+ Hypothesised","Historical"
