"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"158",38.94,0,61.06,"Survival","Open ocean","Future climate","A",12,1,"Autumn primary production -> Marine snow"
"159",51.02,0,48.98,"Growth","Open ocean","Future climate","A",12,2,"Autumn primary production -> Sea-ice algae"
"160",36.18,0,63.82,"Survival","Open ocean","Future climate","A",12,2,"Autumn primary production -> Sea-ice algae"
"161",54.06,0,45.94,"Growth","Open ocean","Future climate","A",12,3,"Glacial melt -> Nutrients"
"162",38.66,0,61.34,"Survival","Open ocean","Future climate","A",12,3,"Glacial melt -> Nutrients"
"163",50.16,0,49.84,"Growth","Open ocean","Future climate","A",12,4,"POM -* Small copepods"
"164",36.72,0,63.28,"Survival","Open ocean","Future climate","A",12,4,"POM -* Small copepods"
"165",50.5,0,49.5,"Growth","Open ocean","Future climate","A",12,5,"Ice terraces -* Predation risk"
"166",41.46,0.02,58.52,"Survival","Open ocean","Future climate","A",12,5,"Ice terraces -* Predation risk"
"167",48.22,0,51.78,"Growth","Open ocean","Future climate","A",12,6,"Small copepods -> POM"
"168",37.52,0,62.48,"Survival","Open ocean","Future climate","A",12,6,"Small copepods -> POM"
"169",56.88,0,43.12,"Growth","Open ocean","Future climate","A",13,0,"Certain"
"170",39.6,0,60.4,"Survival","Open ocean","Future climate","A",13,0,"Certain"
"171",54.82,0,45.18,"Growth","Open ocean","Future climate","A",13,1,"Autumn primary production -> Marine snow"
"172",39.56,0,60.44,"Survival","Open ocean","Future climate","A",13,1,"Autumn primary production -> Marine snow"
"173",52.56,0,47.44,"Growth","Open ocean","Future climate","A",13,2,"Autumn primary production -> Sea-ice algae"
"174",37.54,0,62.46,"Survival","Open ocean","Future climate","A",13,2,"Autumn primary production -> Sea-ice algae"
"175",51.08,0,48.92,"Growth","Open ocean","Future climate","A",13,3,"POM -* Small copepods"
"176",36.52,0,63.48,"Survival","Open ocean","Future climate","A",13,3,"POM -* Small copepods"
"177",52.26,0,47.74,"Growth","Open ocean","Future climate","A",13,4,"Glacial melt -> Nutrients"
"178",37.94,0,62.06,"Survival","Open ocean","Future climate","A",13,4,"Glacial melt -> Nutrients"
"179",51.4,0,48.6,"Growth","Open ocean","Future climate","A",13,5,"Ice terraces -* Predation risk"
