"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"82",34.22,0,65.78,"Survival","Open ocean","Future climate","C",6,5,"Ice terraces -* Predation risk"
"83",64.14,0,35.86,"Growth","Open ocean","Future climate","C",6,6,"POM -* Small copepods"
"84",32.42,0,67.58,"Survival","Open ocean","Future climate","C",6,6,"POM -* Small copepods"
"85",67.1,0,32.9,"Growth","Open ocean","Future climate","C",7,0,"Certain"
"86",51.32,0,48.68,"Survival","Open ocean","Future climate","C",7,0,"Certain"
"87",71.88,0,28.12,"Growth","Open ocean","Future climate","C",7,1,"Small copepods -> POM"
"88",54.8,0,45.2,"Survival","Open ocean","Future climate","C",7,1,"Small copepods -> POM"
"89",72.42,0,27.58,"Growth","Open ocean","Future climate","C",7,2,"Autumn primary production -> Marine snow"
"90",56.64,0,43.36,"Survival","Open ocean","Future climate","C",7,2,"Autumn primary production -> Marine snow"
"91",66.84,0,33.16,"Growth","Open ocean","Future climate","C",7,3,"Autumn primary production -> Sea-ice algae"
"92",52.68,0,47.32,"Survival","Open ocean","Future climate","C",7,3,"Autumn primary production -> Sea-ice algae"
"93",67.12,0,32.88,"Growth","Open ocean","Future climate","C",7,4,"Glacial melt -> Nutrients"
"94",53.6,0,46.4,"Survival","Open ocean","Future climate","C",7,4,"Glacial melt -> Nutrients"
"95",61.98,0,38.02,"Growth","Open ocean","Future climate","C",7,5,"POM -* Small copepods"
"96",48.66,0,51.34,"Survival","Open ocean","Future climate","C",7,5,"POM -* Small copepods"
"97",65.54,0,34.46,"Growth","Open ocean","Future climate","C",7,6,"Ice terraces -* Predation risk"
"98",33.4,0,66.6,"Survival","Open ocean","Future climate","C",7,6,"Ice terraces -* Predation risk"
"99",66.4,0,33.6,"Growth","Open ocean","Future climate","C",8,0,"Certain"
"100",51.1,0,48.9,"Survival","Open ocean","Future climate","C",8,0,"Certain"
"101",66.6,0,33.4,"Growth","Open ocean","Future climate","C",8,1,"Autumn primary production -> Marine snow"
"102",51.72,0,48.28,"Survival","Open ocean","Future climate","C",8,1,"Autumn primary production -> Marine snow"
"103",71.86,0,28.14,"Growth","Open ocean","Future climate","C",8,2,"Small copepods -> POM"
"104",55.78,0,44.22,"Survival","Open ocean","Future climate","C",8,2,"Small copepods -> POM"
"105",67.2,0,32.8,"Growth","Open ocean","Future climate","C",8,3,"Autumn primary production -> Sea-ice algae"
"106",53.26,0,46.74,"Survival","Open ocean","Future climate","C",8,3,"Autumn primary production -> Sea-ice algae"
"107",67,0,33,"Growth","Open ocean","Future climate","C",8,4,"Glacial melt -> Nutrients"
"108",52.6,0,47.4,"Survival","Open ocean","Future climate","C",8,4,"Glacial melt -> Nutrients"
"109",62.64,0,37.36,"Growth","Open ocean","Future climate","C",8,5,"POM -* Small copepods"
"110",49.4,0,50.6,"Survival","Open ocean","Future climate","C",8,5,"POM -* Small copepods"
"111",65.92,0,34.08,"Growth","Open ocean","Future climate","C",8,6,"Ice terraces -* Predation risk"
"112",33.44,0,66.56,"Survival","Open ocean","Future climate","C",8,6,"Ice terraces -* Predation risk"
"113",67.42,0,32.58,"Growth","Open ocean","Future climate","C",9,0,"Certain"
"114",51.44,0,48.56,"Survival","Open ocean","Future climate","C",9,0,"Certain"
"115",67.58,0,32.42,"Growth","Open ocean","Future climate","C",9,1,"Autumn primary production -> Marine snow"
"116",51.72,0,48.28,"Survival","Open ocean","Future climate","C",9,1,"Autumn primary production -> Marine snow"
"117",63.84,0,36.16,"Growth","Open ocean","Future climate","C",9,2,"Autumn primary production -> Sea-ice algae"
"118",50.16,0,49.84,"Survival","Open ocean","Future climate","C",9,2,"Autumn primary production -> Sea-ice algae"
"119",68.12,0,31.88,"Growth","Open ocean","Future climate","C",9,3,"Small copepods -> POM"
"120",53.14,0,46.86,"Survival","Open ocean","Future climate","C",9,3,"Small copepods -> POM"
"121",67.58,0,32.42,"Growth","Open ocean","Future climate","C",9,4,"Glacial melt -> Nutrients"
"122",54.12,0,45.88,"Survival","Open ocean","Future climate","C",9,4,"Glacial melt -> Nutrients"
"123",61.96,0,38.04,"Growth","Open ocean","Future climate","C",9,5,"POM -* Small copepods"
"124",48.6,0,51.4,"Survival","Open ocean","Future climate","C",9,5,"POM -* Small copepods"
"125",64.38,0,35.62,"Growth","Open ocean","Future climate","C",9,6,"Ice terraces -* Predation risk"
"126",32.18,0,67.82,"Survival","Open ocean","Future climate","C",9,6,"Ice terraces -* Predation risk"
"127",66.94,0,33.06,"Growth","Open ocean","Future climate","C",10,0,"Certain"
"128",51.24,0,48.76,"Survival","Open ocean","Future climate","C",10,0,"Certain"
"129",66.48,0,33.52,"Growth","Open ocean","Future climate","C",10,1,"Autumn primary production -> Marine snow"
"130",51.18,0,48.82,"Survival","Open ocean","Future climate","C",10,1,"Autumn primary production -> Marine snow"
"131",64.54,0,35.46,"Growth","Open ocean","Future climate","C",10,2,"Autumn primary production -> Sea-ice algae"
"132",50.38,0,49.62,"Survival","Open ocean","Future climate","C",10,2,"Autumn primary production -> Sea-ice algae"
"133",63.22,0,36.78,"Growth","Open ocean","Future climate","C",10,3,"Glacial melt -> Nutrients"
"134",50.42,0,49.58,"Survival","Open ocean","Future climate","C",10,3,"Glacial melt -> Nutrients"
"135",66.6,0,33.4,"Growth","Open ocean","Future climate","C",10,4,"Small copepods -> POM"
"136",52.42,0.02,47.56,"Survival","Open ocean","Future climate","C",10,4,"Small copepods -> POM"
"137",63.64,0,36.36,"Growth","Open ocean","Future climate","C",10,5,"POM -* Small copepods"
"138",50.4,0,49.6,"Survival","Open ocean","Future climate","C",10,5,"POM -* Small copepods"
"139",66.1,0,33.9,"Growth","Open ocean","Future climate","C",10,6,"Ice terraces -* Predation risk"
"140",32.98,0,67.02,"Survival","Open ocean","Future climate","C",10,6,"Ice terraces -* Predation risk"
"141",67.16,0,32.84,"Growth","Open ocean","Future climate","C",11,0,"Certain"
"142",50.8,0,49.2,"Survival","Open ocean","Future climate","C",11,0,"Certain"
"143",67.18,0,32.82,"Growth","Open ocean","Future climate","C",11,1,"Autumn primary production -> Marine snow"
"144",51.52,0,48.48,"Survival","Open ocean","Future climate","C",11,1,"Autumn primary production -> Marine snow"
"145",63.48,0,36.52,"Growth","Open ocean","Future climate","C",11,2,"Autumn primary production -> Sea-ice algae"
"146",49.78,0,50.22,"Survival","Open ocean","Future climate","C",11,2,"Autumn primary production -> Sea-ice algae"
"147",63.08,0,36.92,"Growth","Open ocean","Future climate","C",11,3,"Glacial melt -> Nutrients"
"148",49.26,0,50.74,"Survival","Open ocean","Future climate","C",11,3,"Glacial melt -> Nutrients"
"149",62.38,0,37.62,"Growth","Open ocean","Future climate","C",11,4,"POM -* Small copepods"
"150",48.74,0,51.26,"Survival","Open ocean","Future climate","C",11,4,"POM -* Small copepods"
"151",63.28,0,36.72,"Growth","Open ocean","Future climate","C",11,5,"Small copepods -> POM"
"152",50.64,0,49.36,"Survival","Open ocean","Future climate","C",11,5,"Small copepods -> POM"
"153",64.76,0,35.24,"Growth","Open ocean","Future climate","C",11,6,"Ice terraces -* Predation risk"
"154",33.1,0,66.9,"Survival","Open ocean","Future climate","C",11,6,"Ice terraces -* Predation risk"
"155",68.22,0,31.78,"Growth","Open ocean","Future climate","C",12,0,"Certain"
"156",51.64,0,48.36,"Survival","Open ocean","Future climate","C",12,0,"Certain"
"157",67.52,0,32.48,"Growth","Open ocean","Future climate","C",12,1,"Autumn primary production -> Marine snow"
"158",52.3,0,47.7,"Survival","Open ocean","Future climate","C",12,1,"Autumn primary production -> Marine snow"
"159",63.32,0,36.68,"Growth","Open ocean","Future climate","C",12,2,"Autumn primary production -> Sea-ice algae"
"160",49.86,0,50.14,"Survival","Open ocean","Future climate","C",12,2,"Autumn primary production -> Sea-ice algae"
"161",63.88,0,36.12,"Growth","Open ocean","Future climate","C",12,3,"Glacial melt -> Nutrients"
"162",49.78,0,50.22,"Survival","Open ocean","Future climate","C",12,3,"Glacial melt -> Nutrients"
"163",62.56,0,37.44,"Growth","Open ocean","Future climate","C",12,4,"POM -* Small copepods"
"164",49.34,0,50.66,"Survival","Open ocean","Future climate","C",12,4,"POM -* Small copepods"
"165",64.76,0,35.24,"Growth","Open ocean","Future climate","C",12,5,"Ice terraces -* Predation risk"
"166",31.82,0,68.18,"Survival","Open ocean","Future climate","C",12,5,"Ice terraces -* Predation risk"
"167",65.26,0,34.74,"Growth","Open ocean","Future climate","C",12,6,"Small copepods -> POM"
"168",33.22,0,66.78,"Survival","Open ocean","Future climate","C",12,6,"Small copepods -> POM"
"169",66.7,0,33.3,"Growth","Open ocean","Future climate","C",13,0,"Certain"
"170",50.48,0,49.52,"Survival","Open ocean","Future climate","C",13,0,"Certain"
"171",65.86,0,34.14,"Growth","Open ocean","Future climate","C",13,1,"Autumn primary production -> Marine snow"
"172",50.1,0,49.9,"Survival","Open ocean","Future climate","C",13,1,"Autumn primary production -> Marine snow"
"173",63.86,0,36.14,"Growth","Open ocean","Future climate","C",13,2,"Autumn primary production -> Sea-ice algae"
"174",50.24,0,49.76,"Survival","Open ocean","Future climate","C",13,2,"Autumn primary production -> Sea-ice algae"
"175",62.08,0,37.92,"Growth","Open ocean","Future climate","C",13,3,"POM -* Small copepods"
"176",49.5,0,50.5,"Survival","Open ocean","Future climate","C",13,3,"POM -* Small copepods"
"177",62.2,0,37.8,"Growth","Open ocean","Future climate","C",13,4,"Glacial melt -> Nutrients"
"178",48.8,0,51.2,"Survival","Open ocean","Future climate","C",13,4,"Glacial melt -> Nutrients"
"179",64.48,0,35.52,"Growth","Open ocean","Future climate","C",13,5,"Ice terraces -* Predation risk"
"180",31.42,0,68.58,"Survival","Open ocean","Future climate","C",13,5,"Ice terraces -* Predation risk"
"181",64.7,0,35.3,"Growth","Open ocean","Future climate","C",13,6,"Small copepods -> POM"
"182",32.38,0,67.62,"Survival","Open ocean","Future climate","C",13,6,"Small copepods -> POM"
"183",67.26,0,32.74,"Growth","Open ocean","Future climate","C",14,0,"Certain"
"184",51.58,0,48.42,"Survival","Open ocean","Future climate","C",14,0,"Certain"
"185",65.86,0,34.14,"Growth","Open ocean","Future climate","C",14,1,"Autumn primary production -> Marine snow"
"186",50.52,0,49.48,"Survival","Open ocean","Future climate","C",14,1,"Autumn primary production -> Marine snow"
"187",63.1,0,36.9,"Growth","Open ocean","Future climate","C",14,2,"Autumn primary production -> Sea-ice algae"
"188",49.42,0,50.58,"Survival","Open ocean","Future climate","C",14,2,"Autumn primary production -> Sea-ice algae"
"189",61.92,0,38.08,"Growth","Open ocean","Future climate","C",14,3,"POM -* Small copepods"
"190",49.26,0,50.74,"Survival","Open ocean","Future climate","C",14,3,"POM -* Small copepods"
"191",62.02,0,37.98,"Growth","Open ocean","Future climate","C",14,4,"Glacial melt -> Nutrients"
"192",49.1,0,50.9,"Survival","Open ocean","Future climate","C",14,4,"Glacial melt -> Nutrients"
"193",61.46,0,38.54,"Growth","Open ocean","Future climate","C",14,5,"Small copepods -> POM"
"194",48.86,0,51.14,"Survival","Open ocean","Future climate","C",14,5,"Small copepods -> POM"
"195",64.16,0,35.84,"Growth","Open ocean","Future climate","C",14,6,"Ice terraces -* Predation risk"
"196",32.46,0,67.54,"Survival","Open ocean","Future climate","C",14,6,"Ice terraces -* Predation risk"
"197",66.92,0,33.08,"Growth","Open ocean","Future climate","C",15,0,"Certain"
"198",50.1,0,49.9,"Survival","Open ocean","Future climate","C",15,0,"Certain"
"199",66.52,0,33.48,"Growth","Open ocean","Future climate","C",15,1,"Autumn primary production -> Marine snow"
"200",50.84,0,49.16,"Survival","Open ocean","Future climate","C",15,1,"Autumn primary production -> Marine snow"
"201",63.76,0,36.24,"Growth","Open ocean","Future climate","C",15,2,"Autumn primary production -> Sea-ice algae"
"202",49.74,0.02,50.24,"Survival","Open ocean","Future climate","C",15,2,"Autumn primary production -> Sea-ice algae"
"203",60.62,0,39.38,"Growth","Open ocean","Future climate","C",15,3,"POM -* Small copepods"
"204",47.48,0,52.52,"Survival","Open ocean","Future climate","C",15,3,"POM -* Small copepods"
"205",62.08,0,37.92,"Growth","Open ocean","Future climate","C",15,4,"Small copepods -> POM"
"206",49,0,51,"Survival","Open ocean","Future climate","C",15,4,"Small copepods -> POM"
