"","Negative","No Change","Positive","Node","Region","Experiment","Climate scenario","permID","stepID","edgeAdded"
"84",37.66,0,62.34,"Survival","Low-lat shelf","Future climate","A",6,6,"POM -* Small copepods"
"85",55.46,0,44.54,"Growth","Low-lat shelf","Future climate","A",7,0,"Certain"
"86",51.56,0,48.44,"Survival","Low-lat shelf","Future climate","A",7,0,"Certain"
"87",54.68,0,45.32,"Growth","Low-lat shelf","Future climate","A",7,1,"Small copepods -> POM"
"88",51.42,0,48.58,"Survival","Low-lat shelf","Future climate","A",7,1,"Small copepods -> POM"
"89",54.66,0,45.34,"Growth","Low-lat shelf","Future climate","A",7,2,"Autumn primary production -> Marine snow"
"90",51.8,0,48.2,"Survival","Low-lat shelf","Future climate","A",7,2,"Autumn primary production -> Marine snow"
"91",49.42,0,50.58,"Growth","Low-lat shelf","Future climate","A",7,3,"Autumn primary production -> Sea-ice algae"
"92",48.1,0,51.9,"Survival","Low-lat shelf","Future climate","A",7,3,"Autumn primary production -> Sea-ice algae"
"93",46.26,0,53.74,"Growth","Low-lat shelf","Future climate","A",7,4,"Glacial melt -> Nutrients"
"94",46.74,0,53.26,"Survival","Low-lat shelf","Future climate","A",7,4,"Glacial melt -> Nutrients"
"95",46.48,0,53.52,"Growth","Low-lat shelf","Future climate","A",7,5,"POM -* Small copepods"
"96",46.34,0,53.66,"Survival","Low-lat shelf","Future climate","A",7,5,"POM -* Small copepods"
"97",48.96,0,51.04,"Growth","Low-lat shelf","Future climate","A",7,6,"Ice terraces -* Predation risk"
"98",37.16,0,62.84,"Survival","Low-lat shelf","Future climate","A",7,6,"Ice terraces -* Predation risk"
"99",55.94,0,44.06,"Growth","Low-lat shelf","Future climate","A",8,0,"Certain"
"100",52.52,0,47.48,"Survival","Low-lat shelf","Future climate","A",8,0,"Certain"
"101",54.8,0,45.2,"Growth","Low-lat shelf","Future climate","A",8,1,"Autumn primary production -> Marine snow"
"102",52.78,0,47.22,"Survival","Low-lat shelf","Future climate","A",8,1,"Autumn primary production -> Marine snow"
"103",53.54,0,46.46,"Growth","Low-lat shelf","Future climate","A",8,2,"Small copepods -> POM"
"104",51.42,0,48.58,"Survival","Low-lat shelf","Future climate","A",8,2,"Small copepods -> POM"
"105",50.08,0,49.92,"Growth","Low-lat shelf","Future climate","A",8,3,"Autumn primary production -> Sea-ice algae"
"106",49.1,0,50.9,"Survival","Low-lat shelf","Future climate","A",8,3,"Autumn primary production -> Sea-ice algae"
"107",47.48,0,52.52,"Growth","Low-lat shelf","Future climate","A",8,4,"Glacial melt -> Nutrients"
"108",46.92,0,53.08,"Survival","Low-lat shelf","Future climate","A",8,4,"Glacial melt -> Nutrients"
"109",47.78,0,52.22,"Growth","Low-lat shelf","Future climate","A",8,5,"POM -* Small copepods"
"110",47.86,0,52.14,"Survival","Low-lat shelf","Future climate","A",8,5,"POM -* Small copepods"
"111",49.02,0,50.98,"Growth","Low-lat shelf","Future climate","A",8,6,"Ice terraces -* Predation risk"
"112",35.5,0,64.5,"Survival","Low-lat shelf","Future climate","A",8,6,"Ice terraces -* Predation risk"
"113",54.96,0,45.04,"Growth","Low-lat shelf","Future climate","A",9,0,"Certain"
"114",51.3,0,48.7,"Survival","Low-lat shelf","Future climate","A",9,0,"Certain"
"115",54.98,0,45.02,"Growth","Low-lat shelf","Future climate","A",9,1,"Autumn primary production -> Marine snow"
"116",52.46,0,47.54,"Survival","Low-lat shelf","Future climate","A",9,1,"Autumn primary production -> Marine snow"
"117",52.3,0,47.7,"Growth","Low-lat shelf","Future climate","A",9,2,"Autumn primary production -> Sea-ice algae"
"118",49.86,0,50.14,"Survival","Low-lat shelf","Future climate","A",9,2,"Autumn primary production -> Sea-ice algae"
"119",50.18,0,49.82,"Growth","Low-lat shelf","Future climate","A",9,3,"Small copepods -> POM"
"120",49.84,0,50.16,"Survival","Low-lat shelf","Future climate","A",9,3,"Small copepods -> POM"
"121",46.74,0,53.26,"Growth","Low-lat shelf","Future climate","A",9,4,"Glacial melt -> Nutrients"
"122",46.66,0,53.34,"Survival","Low-lat shelf","Future climate","A",9,4,"Glacial melt -> Nutrients"
"123",47.08,0,52.92,"Growth","Low-lat shelf","Future climate","A",9,5,"POM -* Small copepods"
"124",47.46,0,52.54,"Survival","Low-lat shelf","Future climate","A",9,5,"POM -* Small copepods"
"125",49.1,0,50.9,"Growth","Low-lat shelf","Future climate","A",9,6,"Ice terraces -* Predation risk"
"126",36.2,0,63.8,"Survival","Low-lat shelf","Future climate","A",9,6,"Ice terraces -* Predation risk"
"127",54.66,0,45.34,"Growth","Low-lat shelf","Future climate","A",10,0,"Certain"
"128",50.96,0,49.04,"Survival","Low-lat shelf","Future climate","A",10,0,"Certain"
"129",56.26,0,43.74,"Growth","Low-lat shelf","Future climate","A",10,1,"Autumn primary production -> Marine snow"
"130",52.96,0,47.04,"Survival","Low-lat shelf","Future climate","A",10,1,"Autumn primary production -> Marine snow"
"131",51.76,0,48.24,"Growth","Low-lat shelf","Future climate","A",10,2,"Autumn primary production -> Sea-ice algae"
"132",49.98,0,50.02,"Survival","Low-lat shelf","Future climate","A",10,2,"Autumn primary production -> Sea-ice algae"
"133",49.42,0,50.58,"Growth","Low-lat shelf","Future climate","A",10,3,"Glacial melt -> Nutrients"
"134",48.7,0,51.3,"Survival","Low-lat shelf","Future climate","A",10,3,"Glacial melt -> Nutrients"
"135",48.48,0,51.52,"Growth","Low-lat shelf","Future climate","A",10,4,"Small copepods -> POM"
"136",48.46,0,51.54,"Survival","Low-lat shelf","Future climate","A",10,4,"Small copepods -> POM"
"137",46.86,0,53.14,"Growth","Low-lat shelf","Future climate","A",10,5,"POM -* Small copepods"
"138",46.78,0,53.22,"Survival","Low-lat shelf","Future climate","A",10,5,"POM -* Small copepods"
